customer_id,first_name,last_name,birth_date,enrollment_date,customer_segment,employer_id,email,phone,address_city,address_state
CUS000001,Anna,Martin,1985-05-17,2023-03-26,Mass Market,EMP0023,anna.martin@yahoo.com,001-202-473-2787x585,West David,VA
CUS000002,Gregory,Dickson,1995-05-18,2020-05-23,High Net Worth,EMP0472,gregory.dickson@gmail.com,3895842092,Adamview,MI
CUS000003,Denise,Cooper,1954-05-18,2021-09-07,Mass Market,EMP0342,denise.cooper@yahoo.com,687-231-8389,Gentryfurt,NE
CUS000004,Austin,Melendez,1983-05-18,2021-01-27,Mass Market,EMP0482,austin.melendez@yahoo.com,001-897-468-2781x072,North Johnstad,MO
CUS000005,Gary,Holmes,1990-05-18,2020-01-01,Mass Market,EMP0108,gary.holmes@yahoo.com,761.953.4748,Rebeccafurt,NV
CUS000006,Antonio,Anderson,1977-05-17,2022-06-24,Affluent,EMP0262,antonio.anderson@gmail.com,593.907.0204x351,Emilychester,NM
CUS000007,James,Aguirre,1990-05-18,2023-09-21,Affluent,EMP0172,james.aguirre@hotmail.com,987.895.1765,Bethshire,CO
CUS000008,Brian,Perry,1988-05-17,2021-02-11,Mass Market,EMP0024,brian.perry@yahoo.com,(967)394-9967x6342,Lake Courtneyberg,KS
CUS000009,David,Parker,1976-05-17,2023-07-13,Mass Market,EMP0368,david.parker@hotmail.com,(546)637-7946,Mullenbury,VT
CUS000010,Anthony,Romero,2001-05-17,2023-11-09,Mass Market,EMP0385,anthony.romero@gmail.com,(913)787-8678,Sherryberg,WY
CUS000011,Jacob,Diaz,1968-05-17,2023-11-26,Mass Market,EMP0026,jacob.diaz@yahoo.com,238.286.4410,North Francesburgh,OK
CUS000012,Thomas,Mccoy,1961-05-17,2023-09-29,Mass Market,EMP0287,thomas.mccoy@yahoo.com,+1-863-277-0657x43368,South Joshua,RI
CUS000013,Christine,Warren,1956-05-17,2023-01-27,Mass Market,EMP0082,christine.warren@yahoo.com,6435337826,North Scottside,WV
CUS000014,Seth,Wilson,1967-05-18,2021-07-21,Affluent,EMP0267,seth.wilson@gmail.com,(201)367-2981x2801,Glendafort,NY
CUS000015,Joanne,Short,1997-05-17,2021-08-08,Mass Market,EMP0172,joanne.short@hotmail.com,+1-437-709-1716x561,Stevenburgh,MA
CUS000016,Aimee,Diaz,1993-05-17,2023-11-22,Mass Market,EMP0110,aimee.diaz@yahoo.com,484.854.9271,Mendozafurt,CA
CUS000017,Robin,Larson,1982-05-18,2021-02-27,Affluent,EMP0200,robin.larson@yahoo.com,968.536.7452,Danielmouth,WY
CUS000018,Stephen,Navarro,1995-05-18,2021-12-21,Mass Market,EMP0200,stephen.navarro@hotmail.com,(976)439-9185x10769,North Nathanchester,NE
CUS000019,Eric,Stewart,1978-05-18,2021-07-12,Mass Market,EMP0015,eric.stewart@hotmail.com,787-797-7792x746,Lake Reneeview,MO
CUS000020,James,Smith,1952-05-17,2020-09-18,Ultra High Net Worth,EMP0274,james.smith@yahoo.com,725-200-2059,New Markberg,AK
CUS000021,Russell,Adams,2001-05-17,2022-05-27,Mass Market,EMP0237,russell.adams@gmail.com,001-317-775-6242x4231,West Michellemouth,ID
CUS000022,Collin,Zuniga,1987-05-18,2021-10-31,Mass Market,EMP0451,collin.zuniga@hotmail.com,780-290-5786,North Henry,MO
CUS000023,Scott,Wong,1982-05-18,2024-03-14,Mass Market,EMP0488,scott.wong@hotmail.com,908.532.3478x29595,New Cindyport,MN
CUS000024,Matthew,Thomas,1973-05-17,2021-05-21,Mass Market,EMP0011,matthew.thomas@gmail.com,001-950-968-3118x60900,East Ronaldfort,SC
CUS000025,David,Hall,1971-05-18,2023-03-01,High Net Worth,EMP0239,david.hall@gmail.com,553-388-9543x87192,Port Kimberly,VT
CUS000026,Jessica,Jones,1970-05-18,2020-12-01,Ultra High Net Worth,EMP0056,jessica.jones@yahoo.com,7372562046,Perezfurt,PA
CUS000027,Joshua,Sloan,1986-05-18,2024-01-04,Mass Market,EMP0304,joshua.sloan@yahoo.com,835.544.8365,Port Erin,VT
CUS000028,Justin,Benson,1972-05-17,2023-05-14,Affluent,EMP0408,justin.benson@gmail.com,786-389-8869x2517,East Rebeccamouth,OR
CUS000029,Michael,Lewis,1964-05-17,2020-05-21,Mass Market,EMP0175,michael.lewis@hotmail.com,+1-881-782-9971x6636,Powellport,AL
CUS000030,Jennifer,Garcia,1937-05-17,2023-07-25,High Net Worth,EMP0236,jennifer.garcia@hotmail.com,+1-891-302-2629x79911,Mezaton,VA
CUS000031,Megan,Howard,1970-05-18,2023-01-07,Affluent,EMP0239,megan.howard@yahoo.com,(692)702-3970x706,Morganville,NV
CUS000032,George,Salinas,1967-05-18,2024-08-28,High Net Worth,EMP0143,george.salinas@yahoo.com,001-357-216-4300,North Juliemouth,NH
CUS000033,David,Manning,1981-05-17,2022-10-09,High Net Worth,EMP0094,david.manning@hotmail.com,(802)500-2488x89057,Lake Wesley,NY
CUS000034,William,Kelley,1984-05-17,2023-05-05,Affluent,EMP0142,william.kelley@yahoo.com,+1-300-853-4623x8672,West Nicole,OK
CUS000035,Joseph,Williams,1979-05-18,2022-04-12,Mass Market,EMP0389,joseph.williams@hotmail.com,274-461-4398,New Annamouth,KS
CUS000036,Joanna,Ayers,1980-05-17,2020-02-05,Mass Market,EMP0114,joanna.ayers@yahoo.com,944-900-1397x8412,Lake Samantha,MT
CUS000037,Jennifer,Acevedo,1988-05-17,2022-12-23,Mass Market,EMP0382,jennifer.acevedo@gmail.com,919-711-1491,Cherylshire,OK
CUS000038,David,Weaver,1984-05-17,2021-05-29,Mass Market,EMP0370,david.weaver@yahoo.com,001-954-900-5864x048,Melanieton,IL
CUS000039,Justin,Vargas,2002-05-18,2024-02-21,Mass Market,EMP0371,justin.vargas@gmail.com,9684800313,Troyfurt,PA
CUS000040,Sarah,Marsh,1941-05-17,2021-02-01,Mass Market,EMP0185,sarah.marsh@yahoo.com,927.650.9191x72604,New Jamie,ID
CUS000041,Cynthia,Parker,1995-05-18,2020-04-21,Mass Market,EMP0358,cynthia.parker@hotmail.com,6509041084,Susanfort,FL
CUS000042,Kimberly,Henderson,1980-05-17,2022-08-19,Mass Market,EMP0175,kimberly.henderson@hotmail.com,461.271.9422x39924,West Michael,ID
CUS000043,Stephanie,Carter,1960-05-17,2022-03-31,Mass Market,EMP0296,stephanie.carter@yahoo.com,+1-576-914-9365,New Jenniferbury,SD
CUS000044,Charles,Moss,1971-05-18,2021-09-14,Mass Market,EMP0128,charles.moss@yahoo.com,(453)945-6047x4207,Davidberg,DE
CUS000045,Matthew,Walton,1956-05-17,2022-02-18,Mass Market,EMP0227,matthew.walton@hotmail.com,001-419-298-2028,North Wendyfurt,MD
CUS000046,Mark,Mason,1966-05-18,2024-02-24,Mass Market,EMP0391,mark.mason@yahoo.com,001-678-358-5275x78485,Scottburgh,IN
CUS000047,Christina,Cummings,1997-05-17,2020-12-21,Mass Market,EMP0081,christina.cummings@yahoo.com,363.703.1783x85640,Port Charlesfurt,AL
CUS000048,Ian,Sawyer,1981-05-17,2021-04-19,Mass Market,EMP0145,ian.sawyer@gmail.com,9737438673,Marshallview,VT
CUS000049,Erica,Clark,1943-05-18,2024-06-01,Affluent,EMP0302,erica.clark@gmail.com,579-472-7584x69481,Lake Jeffreyville,TX
CUS000050,Jonathan,Delgado,1989-05-17,2023-08-19,Mass Market,EMP0137,jonathan.delgado@hotmail.com,548-915-6265x37722,Branchton,GA
CUS000051,Jamie,David,1994-05-18,2024-08-15,Mass Market,EMP0148,jamie.david@gmail.com,(522)991-4485,Michelleborough,NH
CUS000052,Tammy,Wilson,1953-05-17,2021-07-11,Mass Market,EMP0253,tammy.wilson@hotmail.com,(389)979-5662,Meyerville,NH
CUS000053,Madeline,Young,1974-05-18,2023-05-21,Mass Market,EMP0047,madeline.young@hotmail.com,+1-323-812-5081x269,Lake James,IA
CUS000054,Colleen,Williams,1950-05-18,2023-10-08,Affluent,EMP0296,colleen.williams@hotmail.com,(582)387-8152x1864,Christopherland,AZ
CUS000055,Karen,Sanchez,1936-05-17,2021-01-06,Ultra High Net Worth,EMP0224,karen.sanchez@hotmail.com,+1-350-928-6235,Lindaberg,SD
CUS000056,Juan,Gamble,1993-05-17,2021-10-19,Affluent,EMP0440,juan.gamble@gmail.com,5498315991,South Nicole,HI
CUS000057,Sydney,Pope,1982-05-18,2022-03-31,Affluent,EMP0282,sydney.pope@hotmail.com,589.561.4377x229,New Michaelhaven,AZ
CUS000058,Jeff,Yang,1993-05-17,2024-05-01,Mass Market,EMP0264,jeff.yang@gmail.com,+1-666-968-2292x727,Hillmouth,AL
CUS000059,Anthony,Clarke,1997-05-17,2022-11-27,Mass Market,EMP0388,anthony.clarke@gmail.com,(675)844-4711x25719,North Lisaview,NY
CUS000060,Craig,Williamson,1981-05-17,2023-01-29,Mass Market,EMP0148,craig.williamson@hotmail.com,350-543-9665,Sarahbury,NH
CUS000061,Jessica,Strickland,1950-05-18,2023-05-31,Affluent,EMP0364,jessica.strickland@gmail.com,+1-981-642-5719x084,Hallberg,HI
CUS000062,Joseph,Wong,2003-05-18,2020-08-20,Mass Market,EMP0061,joseph.wong@gmail.com,250-618-2632,North Lindaville,TN
CUS000063,Joanna,Austin,1980-05-17,2021-07-13,Mass Market,EMP0248,joanna.austin@gmail.com,(649)460-8777x69311,New Melissaport,NM
CUS000064,Justin,Flores,1981-05-17,2023-05-12,Mass Market,EMP0451,justin.flores@yahoo.com,340.224.9698,West Sarah,FL
CUS000065,Nathan,Watson,1987-05-18,2024-06-01,Mass Market,EMP0421,nathan.watson@hotmail.com,928-273-0415x4008,West James,AL
CUS000066,Benjamin,Strong,1957-05-17,2022-07-03,Mass Market,EMP0177,benjamin.strong@hotmail.com,(321)696-5358x830,Rogersmouth,MI
CUS000067,Bruce,Crawford,1936-05-17,2021-01-21,Ultra High Net Worth,EMP0123,bruce.crawford@yahoo.com,001-339-391-6967x365,Wyattbury,OR
CUS000068,Joan,Anthony,2001-05-17,2024-03-05,Mass Market,EMP0468,joan.anthony@hotmail.com,733.302.0197x46420,West Christopher,MO
CUS000069,Chelsea,Wolf,1935-05-18,2020-09-15,Mass Market,EMP0303,chelsea.wolf@hotmail.com,713.450.7884,New Robertland,MI
CUS000070,Ashley,Steele,2006-05-18,2020-10-22,Mass Market,EMP0336,ashley.steele@hotmail.com,405.852.5536x631,West Jacob,GA
CUS000071,Joshua,Graham,1980-05-17,2023-11-19,Mass Market,EMP0042,joshua.graham@yahoo.com,873.620.8561x7607,Benjaminfort,MI
CUS000072,Maria,Bradshaw,1963-05-18,2024-04-04,Mass Market,EMP0278,maria.bradshaw@hotmail.com,341-362-4910,Christinetown,AZ
CUS000073,Andrea,Harper,1941-05-17,2024-03-09,Mass Market,EMP0051,andrea.harper@yahoo.com,001-888-283-4620x77243,Andrewmouth,WI
CUS000074,Kimberly,Allen,1961-05-17,2020-02-29,Mass Market,EMP0408,kimberly.allen@yahoo.com,(782)867-4436x9913,Arroyochester,AR
CUS000075,Martha,Brown,2003-05-18,2022-12-23,Mass Market,EMP0350,martha.brown@yahoo.com,(759)855-3862,Andersonburgh,ID
CUS000076,Tanya,Ponce,1973-05-17,2021-05-08,Mass Market,EMP0299,tanya.ponce@gmail.com,+1-674-972-4009,Millermouth,GA
CUS000077,Jason,Buck,1981-05-17,2023-09-27,Mass Market,EMP0412,jason.buck@yahoo.com,770-627-4941x16769,Reedhaven,NJ
CUS000078,Craig,Nguyen,1978-05-18,2021-12-08,Ultra High Net Worth,EMP0154,craig.nguyen@hotmail.com,498.968.4431,Beasleymouth,SD
CUS000079,Rachel,Williams,2001-05-17,2022-02-26,High Net Worth,EMP0055,rachel.williams@yahoo.com,001-676-659-2169x5085,New Calebmouth,KS
CUS000080,Julie,Reyes,1941-05-17,2021-08-27,Mass Market,EMP0425,julie.reyes@hotmail.com,(456)849-3496x60022,Lopezland,TX
CUS000081,Sharon,Thomas,1949-05-17,2024-03-06,Mass Market,EMP0463,sharon.thomas@yahoo.com,263-576-6478x8316,West Lawrenceburgh,ME
CUS000082,Cynthia,Burton,1988-05-17,2021-01-24,Affluent,EMP0348,cynthia.burton@hotmail.com,747.457.0659x03509,Dianechester,WI
CUS000083,Devin,Graves,1947-05-18,2023-08-16,Mass Market,EMP0404,devin.graves@hotmail.com,979.297.2159x535,North Kelly,NH
CUS000084,Raymond,Johnston,2007-05-18,2021-08-27,Mass Market,EMP0213,raymond.johnston@yahoo.com,(985)273-2554x70517,West Denise,ID
CUS000085,Timothy,Ross,1991-05-18,2021-07-12,Affluent,EMP0132,timothy.ross@yahoo.com,+1-866-676-1962,Port Kathleen,NM
CUS000086,William,Williams,1952-05-17,2022-08-17,Ultra High Net Worth,EMP0073,william.williams@gmail.com,001-935-495-5545,South Daniellefurt,WI
CUS000087,Connie,Mcguire,2004-05-17,2022-03-19,Mass Market,EMP0275,connie.mcguire@gmail.com,3238327263,Johnsonland,DE
CUS000088,Kathleen,Rodriguez,1984-05-17,2024-08-11,Affluent,EMP0191,kathleen.rodriguez@hotmail.com,001-315-507-5838x08736,Parkerside,CT
CUS000089,Stephen,Campbell,1960-05-17,2023-02-23,Mass Market,EMP0313,stephen.campbell@yahoo.com,+1-566-887-2027,Michaelside,IA
CUS000090,Tyler,Perry,1936-05-17,2021-09-10,Affluent,EMP0060,tyler.perry@gmail.com,001-396-474-8118x872,Julieville,FL
CUS000091,William,Ortega,2007-05-18,2021-04-25,High Net Worth,EMP0070,william.ortega@gmail.com,(618)765-5730x972,South Denisemouth,MO
CUS000092,Brandi,Valencia,1984-05-17,2024-01-28,Mass Market,EMP0213,brandi.valencia@gmail.com,3626347196,North Matthewchester,TN
CUS000093,Brandon,Becker,1937-05-17,2021-07-26,Mass Market,EMP0190,brandon.becker@hotmail.com,330.478.1539,Yatestown,IN
CUS000094,Patricia,Hooper,2000-05-17,2023-11-05,Mass Market,EMP0462,patricia.hooper@hotmail.com,446-221-6007,Matthewton,TN
CUS000095,Heather,Nelson,2002-05-18,2020-09-07,High Net Worth,EMP0422,heather.nelson@gmail.com,350.672.7381,Conleyburgh,NJ
CUS000096,Jason,Allen,2006-05-18,2021-11-14,Mass Market,EMP0065,jason.allen@hotmail.com,+1-239-826-0758,West Christinestad,OR
CUS000097,Crystal,Schaefer,1993-05-17,2024-07-23,High Net Worth,EMP0169,crystal.schaefer@hotmail.com,467-315-1395x930,New Hayley,WY
CUS000098,Timothy,Mclean,1975-05-18,2020-10-23,Ultra High Net Worth,EMP0277,timothy.mclean@yahoo.com,001-964-269-7090x364,New Jessica,KY
CUS000099,James,Joyce,1995-05-18,2022-01-03,Affluent,EMP0122,james.joyce@gmail.com,757.973.5396,Kathyfurt,PA
